TypeOfIncident,TypeOfCollission,AuthoritiesContacted,IncidentState,NumberOfVehicles,PropertyDamage,BodilyInjuries,Witnesses,AmountOfTotalClaim,AmountOfInjuryClaim,AmountOfPropertyClaim,AmountOfVehicleDamage,InsuredAge,InsuredGender,InsuredEducationLevel,InsuredOccupation,CapitalGains,CapitalLoss,CustomerLoyaltyPeriod,InsurancePolicyState,Policy_Deductible,PolicyAnnualPremium,InsuredRelationship,VehicleMake,VehicleYOM,ReportedFraud
2,1.0,0,6,1,,1,0,56154,5730,5730,44694,29,0,0,4,0,-18600,74,2,654,1209.23,5,5,2012,0
2,0.0,4,0,1,,1,1,63400,6340,6340,50720,41,0,6,1,48900,-62400,256,0,2000,1415.74,4,4,2014,1
0,0.0,4,2,3,,2,0,56729,6746,6746,43237,40,1,3,13,0,0,214,0,842,1328.38,3,2,2007,0
0,0.0,0,2,3,,2,0,59066,8220,8220,42626,40,1,3,13,0,0,203,0,741,1242.43,3,8,2008,0
0,2.0,4,4,3,,1,1,38267,297,4709,33261,41,0,0,2,81800,0,220,1,2000,932.14,3,1,1997,0
0,2.0,4,4,3,,1,1,42869,3495,4485,34889,41,0,0,2,81800,0,255,0,2000,1546.75,3,1,2010,0
2,2.0,4,4,1,1.0,2,1,97734,16366,15903,65465,52,0,5,3,64800,-24300,395,0,1879,1102.86,2,4,1998,0
2,0.0,4,2,1,0.0,2,1,78737,10717,13762,54258,32,0,5,6,0,0,147,0,2000,1057.9,4,2,2011,1
2,0.0,1,2,1,0.0,2,1,66803,6547,11285,48971,27,0,5,10,0,0,87,0,2000,956.13,4,2,2009,0
2,0.0,1,2,1,1.0,1,0,57041,8251,8251,40539,42,1,2,9,0,0,225,0,875,1373.33,5,6,2008,0
3,,2,2,1,0.0,0,1,6500,1300,650,4550,44,1,0,11,66000,-46000,228,0,1000,1583.91,4,1,2009,0
2,2.0,0,6,1,1.0,0,1,66757,16656,5574,44527,38,0,1,4,0,-62500,237,2,1000,811.5,0,5,2014,0
0,1.0,3,2,2,,1,1,66269,8756,6965,50548,25,1,0,6,0,-45300,45,1,1000,1277.56,5,7,2002,0
0,0.0,3,2,3,,1,1,74320,12593,7019,54708,34,1,0,6,0,-45300,125,2,1000,1139.85,5,12,2000,0
0,2.0,3,2,2,,0,1,71670,9685,13031,48954,34,1,3,6,0,0,175,2,1555,1116.26,5,2,2006,0
2,0.0,0,6,1,1.0,1,1,47725,5410,5410,36905,35,0,5,8,36700,-73400,136,1,1000,1388.02,3,12,2005,0
2,1.0,0,6,1,1.0,0,1,48166,9582,4919,33665,35,0,3,9,0,0,54,0,500,1088.23,4,3,2005,0
2,1.0,0,6,1,1.0,0,1,47524,9313,5136,33075,35,0,3,3,0,-51000,70,0,500,1083.28,1,3,2006,0
0,1.0,1,4,3,0.0,0,1,64100,6410,6410,51280,39,0,6,12,0,0,256,2,1000,1351.1,4,11,2003,1
0,2.0,1,2,3,,0,0,53298,5922,5922,41454,49,1,6,11,54900,-72500,318,1,837,1377.96,2,9,2007,0
0,1.0,4,2,3,0.0,2,1,35260,7610,4082,23568,29,0,6,11,0,0,135,2,1964,1402.61,0,11,2007,0
0,2.0,3,0,3,,1,1,65057,10493,5509,49055,55,1,4,3,0,-42700,381,2,1913,1127.34,3,14,2009,0
0,2.0,3,0,3,,0,1,62274,7930,5802,48542,40,1,4,3,0,-42700,234,2,1390,1189.1,0,14,2011,0
3,,2,4,1,1.0,1,0,5892,857,857,4178,35,0,6,6,0,0,169,2,2000,1180.61,1,1,2010,0
2,2.0,3,1,2,0.0,1,0,72236,6020,12039,54177,51,1,2,10,90700,0,331,1,1000,1311.52,4,6,2011,0
0,0.0,4,2,3,,0,0,78650,21450,7150,50050,34,1,6,9,0,-77000,137,1,1000,1333.35,0,10,2012,0
1,,4,6,1,,1,1,5002,842,790,3370,44,0,2,9,0,0,243,2,910,1135.6,5,11,2002,0
1,,4,6,1,,0,1,3197,581,292,2324,27,0,2,9,0,0,7,2,502,1075.95,4,11,2015,1
0,0.0,4,6,2,1.0,1,1,72016,7012,11466,53538,47,0,5,8,0,0,321,2,1628,1391.83,2,11,2009,0
2,0.0,3,2,1,1.0,1,0,59390,9326,9326,40738,46,1,4,13,0,0,280,0,874,1219.88,2,6,2006,0
2,0.0,3,1,1,1.0,2,1,59044,9506,9506,40032,47,1,4,8,0,0,304,0,719,1188.11,3,6,2005,0
2,2.0,0,5,1,,0,1,76476,12867,13905,49704,44,1,0,9,0,0,246,1,2000,1245.57,5,2,2002,0
2,2.0,0,1,1,,0,1,82240,8027,14953,59260,50,1,0,9,0,0,335,1,2000,1384.24,5,2,2004,0
0,2.0,4,6,3,,2,1,75142,14119,9333,51690,40,0,1,12,0,-57700,202,2,700,1373.38,5,7,2003,0
0,2.0,1,6,3,,2,1,77942,15226,8519,54197,34,0,6,12,0,-57700,120,2,580,1422.84,5,7,2001,0
0,1.0,4,5,3,,0,1,65046,8094,8094,48858,33,1,5,5,0,0,181,2,1050,1242.58,0,2,2003,1
0,1.0,4,5,3,,0,1,68635,7632,7632,53371,31,1,5,5,0,-64700,152,2,766,1273.11,0,13,2004,0
0,2.0,4,6,2,,1,0,33374,3207,6413,23754,40,0,2,6,0,-64100,170,1,703,1570.92,5,8,2006,0
0,2.0,4,5,1,,2,1,45221,4507,9013,31701,34,0,2,6,0,-45200,41,1,965,1881.44,5,12,2002,0
2,1.0,1,4,1,,1,1,52699,7743,9990,34966,41,0,5,3,0,0,271,2,1549,1234.82,4,4,2004,0
2,1.0,1,4,1,,1,1,71970,7504,14326,50140,42,0,1,3,0,-45300,262,2,630,1324.81,4,5,2009,0
2,0.0,4,6,1,0.0,1,1,27700,2770,2770,22160,33,0,6,7,0,0,27,0,500,1442.99,3,13,2012,0
3,,2,1,1,,2,1,5510,955,661,3894,35,1,1,13,0,-39700,134,2,789,999.66,4,6,2000,0
3,,2,1,1,,2,1,4957,797,642,3518,38,0,1,13,0,0,165,2,720,993.17,1,3,1999,0
3,,2,6,1,,1,1,6992,1316,658,5018,30,0,0,0,0,0,127,1,2000,1090.53,0,3,2008,0
1,,2,6,1,,1,1,6744,1313,656,4775,33,0,0,4,0,-50400,161,0,2000,1106.06,0,3,2007,0
1,,4,4,1,1.0,2,0,6820,751,1240,4829,31,0,2,6,0,0,109,2,1211,1159.05,1,8,2005,0
0,0.0,1,2,3,0.0,2,1,75675,9335,9335,57005,39,0,3,1,64000,0,181,2,1072,1263.56,1,4,2003,0
0,0.0,3,2,3,,2,1,75235,9495,9495,56245,39,0,1,1,64000,0,186,2,1138,1252.04,1,4,2003,0
0,1.0,1,1,3,,2,1,51069,10499,6014,34556,44,1,5,9,0,0,273,0,1000,1077.55,0,8,2008,0
0,0.0,1,3,3,,1,1,93903,7920,15613,70370,29,1,5,8,0,0,59,0,1000,1516.43,3,8,1995,0
2,1.0,3,1,1,0.0,2,1,42300,4700,4700,32900,42,1,6,8,0,-39300,212,0,500,1315.68,5,11,1996,0
3,,2,1,1,1.0,1,1,7347,735,803,5809,38,0,0,1,73700,0,198,2,927,1033.49,4,11,1997,0
0,1.0,4,2,2,0.0,0,1,64505,9156,7907,47442,49,0,5,13,0,0,334,2,500,1295.72,5,2,2008,0
2,1.0,4,3,3,0.0,0,1,48856,9668,5598,33590,50,0,5,8,0,0,346,2,500,982.51,5,9,2013,0
2,1.0,0,2,1,1.0,2,1,51086,6620,8706,35760,37,0,3,8,0,0,169,1,908,1301.0,3,8,2006,0
3,,4,6,1,0.0,0,1,7033,717,1221,5095,45,1,2,8,0,0,290,1,929,1366.51,4,12,1998,0
3,,4,1,1,0.0,0,1,6778,753,1130,4895,45,1,5,8,0,0,288,0,875,1372.27,4,12,1999,0
2,0.0,4,2,1,1.0,2,1,87010,7910,15820,63280,42,0,5,3,38400,0,235,2,500,1253.12,2,6,2002,0
0,1.0,3,2,1,1.0,2,0,93335,11903,14359,67073,40,0,2,3,56900,-37100,222,0,680,1319.81,3,1,2008,0
2,2.0,3,2,1,0.0,2,0,95361,14225,14671,66465,34,0,3,3,0,-37100,153,0,533,1355.05,3,3,2007,0
2,1.0,4,4,1,0.0,2,0,57180,6319,6630,44231,41,0,1,12,0,0,251,1,1000,1421.59,1,4,1995,1
2,1.0,4,4,1,0.0,2,0,58196,6370,7236,44590,41,0,1,12,0,0,247,1,1000,1397.55,1,14,1995,0
2,0.0,0,2,1,,1,1,68607,9575,12967,46065,36,0,1,9,0,0,173,1,1000,1068.49,2,13,2002,0
2,0.0,3,6,1,,1,1,72285,9362,9362,53561,21,1,0,6,0,-45300,7,1,829,1233.26,5,13,2006,0
0,0.0,1,4,3,1.0,1,1,114920,17680,17680,79560,61,0,2,3,0,-51000,447,2,2000,1137.16,2,2,2006,0
2,0.0,0,6,1,1.0,1,1,47365,6609,6609,34147,35,1,3,9,0,0,211,0,666,1141.94,1,3,2012,0
2,0.0,0,6,1,1.0,1,1,46366,6682,6682,33002,35,1,5,9,44900,0,211,0,635,1123.08,1,3,2012,0
2,2.0,4,1,1,,1,0,57641,7705,6033,43903,32,0,2,8,63600,0,110,1,1000,1269.44,2,10,2011,0
2,0.0,1,2,1,1.0,2,1,57210,6943,10395,39872,53,1,5,13,0,0,389,1,1620,1079.39,3,6,2012,0
2,0.0,1,2,1,1.0,2,1,57394,7111,10303,39980,53,1,4,13,0,0,379,1,1573,1091.88,3,10,2011,0
0,0.0,0,0,3,1.0,0,1,47263,8306,4631,34326,35,0,1,13,0,0,189,1,2000,1134.04,2,11,1996,0
0,0.0,0,6,4,1.0,1,1,55162,6927,5174,43061,41,0,3,13,0,-67400,228,1,2000,1158.84,3,5,1999,1
0,2.0,3,5,3,,0,0,54679,9709,284,44686,45,1,6,8,83200,0,271,2,500,1183.39,1,11,2005,0
2,2.0,3,5,1,,1,0,61577,6232,6067,49278,44,0,6,8,83200,0,292,2,500,1099.07,1,11,2005,1
2,1.0,0,4,1,1.0,1,0,56520,4710,9420,42390,23,1,4,10,0,0,60,2,500,1215.36,5,11,2000,0
2,0.0,3,2,1,,2,1,54547,8616,7748,38183,31,1,1,8,67900,0,123,2,500,1390.85,5,5,1999,1
2,1.0,1,1,3,,2,1,49678,10132,5520,34026,43,1,0,8,0,0,269,0,1136,1078.01,3,7,2007,0
2,2.0,0,3,1,0.0,1,0,72450,7192,7457,57801,28,1,4,6,55200,0,100,2,500,1083.29,5,5,1996,0
2,1.0,1,1,1,,1,1,48239,5360,5360,37519,26,1,0,8,54600,0,91,0,1030,1169.89,3,7,1996,0
2,1.0,1,3,1,,1,1,42281,4698,4698,32885,23,1,3,8,54600,0,63,2,536,1115.64,3,12,1997,0
3,,4,1,1,0.0,1,1,4707,777,606,3324,47,0,2,7,0,0,286,0,795,1504.26,3,2,2002,0
1,,2,4,1,0.0,1,1,7280,1120,1120,5040,34,0,4,1,52800,-32800,121,2,1000,936.61,5,13,2010,0
1,,2,5,1,1.0,2,1,5867,810,562,4495,34,1,5,5,0,-52100,138,1,766,1244.21,4,10,2010,0
1,,2,5,1,1.0,2,1,5847,943,545,4359,37,1,5,12,83900,-66000,184,2,624,1322.4,2,10,2011,0
2,1.0,3,2,1,0.0,0,1,55734,8414,8414,38906,34,1,5,4,0,0,178,1,1424,1265.67,1,5,2005,0
2,1.0,1,2,1,0.0,0,1,56208,7808,7808,40592,33,1,5,4,0,-55400,157,1,1595,1238.98,1,5,2005,0
0,0.0,3,1,3,0.0,1,1,50642,9916,5489,35237,27,1,5,12,54600,0,61,2,961,987.73,5,5,1996,0
0,0.0,1,1,3,0.0,1,1,62687,11356,8632,42699,36,1,4,8,35400,-45500,154,2,784,912.89,3,5,2001,0
1,,2,6,1,0.0,2,0,3991,497,714,2780,34,0,3,9,70900,-61100,127,1,742,1065.67,1,8,2008,0
3,,2,1,1,0.0,0,0,7259,738,1449,5072,36,0,0,11,67100,0,147,1,2000,1269.56,2,4,2014,0
1,,2,1,1,0.0,0,0,6868,731,1364,4773,37,0,0,12,23600,0,157,1,2000,1307.94,2,4,2014,0
2,1.0,4,4,1,0.0,0,1,46200,4200,8400,33600,38,0,1,6,41300,-55500,180,2,2000,1301.13,1,5,2003,1
2,1.0,0,2,1,1.0,1,1,52528,8058,7700,36770,37,0,3,8,0,0,175,2,1257,1405.54,4,8,2007,0
2,0.0,1,2,1,,2,1,60990,11089,5545,44356,46,1,1,1,0,0,302,0,500,1588.99,5,14,2009,0
2,0.0,3,1,1,1.0,2,1,59443,10808,5404,43231,45,1,1,1,0,0,292,0,500,1548.29,5,4,2009,0
0,0.0,0,4,2,0.0,1,0,57851,11974,5987,39890,33,0,6,13,78300,0,60,2,677,1156.33,2,6,2012,0
2,0.0,0,4,2,0.0,2,0,56054,11813,5907,38334,34,0,6,13,37900,0,76,2,765,1229.19,2,5,2011,0
0,1.0,0,6,4,1.0,0,1,56095,5614,9342,41139,32,0,5,7,0,0,156,1,1200,1206.12,0,5,2004,0
0,1.0,0,6,4,,0,1,56627,5649,9461,41517,33,0,5,7,0,0,158,1,1182,1210.98,0,3,2004,0
2,1.0,0,2,3,0.0,1,1,56959,10331,7154,39474,34,0,6,7,67800,-50300,160,0,500,1424.18,0,13,2006,0
0,1.0,0,2,2,0.0,1,1,56702,9144,8690,38868,33,0,6,7,67800,-50300,123,2,500,1417.98,0,13,2008,0
2,2.0,4,4,1,0.0,2,0,56568,6817,5860,43891,40,0,1,6,36600,-51200,242,1,1000,1435.28,1,4,1996,0
1,,2,2,1,1.0,1,0,3758,683,342,2733,36,0,1,8,12100,0,176,0,1000,1286.36,5,2,2004,0
1,,2,2,1,1.0,1,0,3795,690,345,2760,36,0,0,8,71200,0,171,0,1000,1288.27,5,2,2003,0
0,1.0,3,2,3,0.0,2,1,58854,6797,4477,47580,38,0,4,13,0,0,102,0,668,1472.81,0,12,2003,0
0,1.0,3,2,3,0.0,2,1,56326,6860,1446,48020,39,0,4,13,33000,-43600,213,0,893,1460.37,0,12,2002,0
2,2.0,1,2,1,,1,1,51660,5062,5062,41536,29,0,0,6,0,-42700,87,0,1689,1224.32,1,11,2010,0
2,2.0,1,2,1,1.0,2,1,49498,4596,4596,40306,30,0,3,6,46500,0,116,0,1918,1185.52,1,11,2011,0
0,0.0,4,6,3,1.0,2,1,86685,14494,12503,59688,42,1,4,0,38000,-50300,245,0,2000,1337.14,4,6,2006,0
0,1.0,3,2,3,,1,1,52110,5790,5790,40530,26,1,1,6,63600,0,70,2,1000,1199.44,3,10,2012,0
3,1.0,4,2,2,1.0,0,0,47034,4276,8333,34425,40,1,5,2,0,0,212,1,839,1547.69,0,5,2010,0
3,,4,2,2,1.0,0,1,32688,2972,5557,24159,34,1,6,2,0,0,164,1,716,1412.71,3,4,2008,0
2,0.0,3,1,1,1.0,2,1,68748,9504,11458,47786,48,0,4,8,0,0,340,0,500,1219.83,2,9,2001,0
2,0.0,3,1,1,1.0,1,1,84186,9116,14031,61039,49,1,4,8,0,0,343,0,500,1335.56,4,9,1999,0
2,2.0,0,6,1,,0,1,65055,9352,11141,44562,53,1,4,11,0,0,394,1,2000,876.55,3,7,2002,0
0,2.0,4,2,3,0.0,2,0,84890,15184,7717,61989,40,1,0,9,0,-72900,212,0,515,932.86,1,1,2013,0
0,2.0,4,2,3,1.0,2,0,86171,14348,7834,63989,38,1,0,9,0,-72900,187,1,576,1012.36,1,11,2013,0
2,2.0,4,6,1,0.0,0,1,77880,14160,7080,56640,31,1,2,6,53500,0,140,1,500,708.64,4,12,2015,0
0,0.0,3,4,3,0.0,2,1,58960,7284,6342,45334,36,1,6,5,64400,0,61,2,1212,1515.02,2,10,2006,0
0,2.0,3,4,3,0.0,2,1,60394,7053,6613,46728,37,1,6,3,0,-40800,52,0,1099,1561.1,3,12,2006,0
2,1.0,0,5,1,,2,0,63046,5762,5762,51522,32,0,2,5,45500,-60600,138,0,1000,1449.33,0,3,1995,0
0,0.0,1,4,3,1.0,0,1,61006,11092,5546,44368,34,0,5,6,54500,0,143,1,2000,1144.09,5,4,2007,0
0,2.0,0,5,3,,0,0,43853,6694,6694,30465,51,0,6,6,47900,0,330,0,682,1190.42,2,14,2001,0
2,0.0,1,6,2,0.0,2,1,57062,8174,8174,40714,47,0,2,10,49600,0,324,2,1000,1264.95,2,14,2010,0
0,0.0,1,6,3,0.0,2,1,57550,9466,9466,38618,38,0,2,4,53000,0,234,2,1000,1222.27,1,14,2015,1
0,2.0,1,1,3,0.0,2,0,56056,9875,5685,40496,38,0,6,2,0,0,178,0,2000,1241.97,1,14,2006,0
0,2.0,1,5,3,0.0,2,0,55927,9697,5960,40270,38,0,5,10,0,0,171,0,2000,1236.39,1,14,2006,0
0,0.0,4,6,3,1.0,1,1,73074,9982,4791,58301,39,1,0,12,0,-8500,214,0,2000,1311.1,1,5,2004,0
0,0.0,4,6,3,1.0,2,0,89705,15495,14215,59995,42,1,0,12,0,-8500,252,0,2000,1342.92,1,6,2006,0
0,1.0,0,6,2,,2,0,78139,13787,11496,52856,44,1,6,1,0,-62400,295,0,1000,1168.22,1,10,1999,0
2,1.0,0,6,2,,2,0,76647,13630,11063,51954,44,1,6,7,0,0,288,0,1000,1170.17,1,10,1999,0
3,,2,4,1,0.0,1,0,6970,1116,1184,4670,48,0,6,4,0,0,299,0,1000,1417.26,4,6,2001,0
3,,2,6,1,0.0,0,1,6299,726,1212,4361,45,0,6,4,0,0,295,0,1000,1270.02,4,10,2002,0
0,2.0,4,3,3,0.0,1,1,55869,5616,5323,44930,36,0,5,7,34500,-60600,145,2,2000,1235.69,0,10,2014,0
0,1.0,1,4,3,1.0,0,1,68353,11189,6568,50596,49,1,6,6,0,0,320,0,500,1037.49,5,6,2002,0
0,1.0,1,4,3,1.0,0,1,66447,9266,6845,50336,55,1,1,3,0,0,390,0,500,1025.32,5,6,2005,0
2,1.0,1,4,1,1.0,0,1,62600,11418,11220,39962,44,0,6,9,0,-41200,253,0,1000,1258.46,2,14,2003,0
2,1.0,1,3,1,1.0,0,1,62599,11418,11217,39964,44,0,6,8,0,-45100,253,2,1000,1258.54,2,1,2003,0
0,1.0,3,2,1,1.0,1,1,62881,12576,10472,39833,43,1,3,8,49600,-28700,257,0,1742,1118.7,4,3,2014,0
2,1.0,0,4,1,,2,0,49036,13994,6030,29012,50,1,3,1,48900,-32600,369,2,602,1189.14,3,8,2008,0
2,0.0,3,2,1,,1,1,59661,7117,7117,45427,27,1,1,0,0,-31700,33,1,2000,1169.39,0,6,2006,0
2,0.0,1,2,1,,1,1,56302,7609,7609,41084,27,1,1,0,0,-31700,42,1,2000,1259.05,3,6,2003,0
0,1.0,4,2,3,0.0,1,0,47160,0,5240,41920,62,1,3,7,0,0,460,1,1000,1187.96,3,12,2011,0
2,0.0,1,5,1,0.0,0,1,55214,5377,5377,44460,41,1,2,13,0,-54600,244,2,1000,1404.52,0,4,2005,0
2,1.0,1,5,1,0.0,0,1,54217,5379,5379,43459,44,1,5,13,0,-54600,274,2,1000,1281.99,0,4,2006,0
2,0.0,3,4,3,0.0,1,1,76183,7760,12914,55509,40,1,1,9,23300,0,196,0,891,1550.9,3,9,2012,0
2,0.0,3,5,1,0.0,0,1,67284,11352,12098,43834,45,1,1,9,0,0,280,0,557,1535.42,3,9,2013,0
3,,2,6,1,1.0,1,1,4767,490,490,3787,36,1,2,1,0,-30400,200,2,1546,1294.28,4,13,2001,0
3,,2,1,1,1.0,1,1,3403,360,360,2683,34,1,0,1,0,-30400,195,2,1792,1433.77,4,5,2003,0
0,0.0,0,2,3,1.0,0,1,47405,4291,8581,34533,36,0,0,6,0,0,204,0,1954,1003.1,4,8,2006,0
0,2.0,4,4,3,,1,1,37840,0,4730,33110,41,0,0,6,46700,0,217,0,2000,875.15,3,1,1996,0
0,2.0,3,2,3,0.0,0,1,57554,5384,10434,41736,38,0,1,7,0,0,181,2,500,1366.17,5,11,2011,0
0,2.0,3,2,3,0.0,0,1,57921,5575,10469,41877,39,1,1,7,0,-71700,185,2,500,1350.72,5,11,2011,0
2,1.0,4,2,1,,0,1,77409,13247,13247,50915,36,0,2,6,0,0,107,1,1442,1187.77,1,3,2013,0
2,1.0,4,2,1,,1,1,71628,11618,11618,48392,40,0,2,0,0,0,176,1,1750,1267.31,1,3,2014,0
2,1.0,3,4,1,,0,1,65540,12084,12084,41372,45,1,3,8,0,-49400,266,1,1617,1000.5,4,13,2014,0
2,1.0,3,4,1,,0,1,63184,11877,11877,39430,45,1,3,8,36400,-28700,267,1,1716,1021.28,4,13,2014,0
3,,4,2,1,,1,1,5010,913,400,3697,37,1,0,6,0,-39100,210,0,1215,1272.27,0,1,2000,0
0,1.0,0,2,3,,1,0,MISSEDDATA,9574,9574,31666,29,0,1,1,61400,-41100,59,2,722,1153.58,5,0,2002,0
0,1.0,0,4,3,0.0,0,0,71520,17880,5960,47680,55,1,2,9,72700,-68200,370,0,2000,972.18,2,12,2000,1
2,2.0,3,1,2,1.0,1,1,63728,11818,7178,44732,46,0,3,11,0,0,274,0,848,1443.76,3,11,2013,0
2,0.0,4,4,1,,2,1,71357,11133,10169,50055,47,0,3,2,36800,0,296,2,500,1026.37,2,7,2005,0
2,0.0,4,6,1,,2,1,75720,10216,13986,51518,42,1,3,2,36800,0,213,2,500,977.79,1,7,2005,0
2,2.0,4,6,1,0.0,0,1,63976,15575,5471,42930,38,0,5,12,0,-53700,201,1,1000,796.95,1,9,2014,0
2,2.0,0,6,1,0.0,0,1,64785,15896,5499,43390,38,0,5,12,0,-53700,211,1,1000,798.44,0,9,2014,0
2,2.0,3,6,1,1.0,1,0,54909,10259,6033,38617,28,0,1,1,0,0,90,0,1086,1444.95,0,11,2004,0
2,2.0,4,6,1,1.0,1,0,56647,10010,6654,39983,29,0,1,1,0,-37500,99,0,1156,1420.87,4,11,2004,0
2,0.0,3,4,1,,0,1,70114,12753,6349,51012,33,0,6,5,0,-40900,106,0,500,1309.87,3,1,2008,1
2,0.0,0,6,1,,2,1,98160,8180,16360,73620,55,1,4,8,0,-31000,413,1,2000,1268.79,3,5,2011,0
2,1.0,4,6,1,0.0,2,1,58979,12907,6902,39170,46,0,2,11,0,0,327,0,1057,906.14,2,8,1998,0
2,1.0,4,6,1,0.0,2,1,69119,13935,10173,45011,44,0,4,8,0,0,281,0,1409,1085.97,2,8,1997,0
0,2.0,4,2,3,0.0,2,1,52275,5407,9017,37851,42,0,4,12,51400,0,263,2,1697,1300.48,2,1,2005,0
0,1.0,4,2,3,0.0,2,1,52896,5703,7269,39924,32,0,4,12,0,0,121,2,1302,1211.83,2,10,2009,0
2,0.0,4,2,2,0.0,2,1,43985,4912,5647,33426,26,1,4,9,66300,-68100,100,0,728,1363.06,0,1,2009,0
0,0.0,0,4,3,,0,1,47988,5035,7711,35242,35,0,2,6,0,-75700,173,1,717,1204.72,4,8,2006,0
0,0.0,1,2,3,,0,1,46393,4903,7171,34319,36,0,2,6,0,0,184,1,684,1220.43,4,7,2006,0
0,1.0,1,2,4,1.0,0,0,59092,10734,5380,42978,27,1,1,11,55300,-61500,85,0,2000,1173.77,4,13,2012,0
0,1.0,1,2,3,1.0,1,0,69400,7618,10155,51627,29,1,1,8,50400,-58400,113,0,2000,997.5,4,9,2005,0
