TypeOfIncident,TypeOfCollission,AuthoritiesContacted,IncidentState,PropertyDamage,BodilyInjuries,Witnesses,InsuredAge,InsuredGender,InsuredEducationLevel,InsuredOccupation,CustomerLoyaltyPeriod,InsurancePolicyState,PolicyAnnualPremium,InsuredRelationship,VehicleMake,VehicleYOM,ReportedFraud
0,0.0,3,6,1.0,2,1,60,0,2,10,440,1,1339.35,2,14,2001,0
2,0.0,1,1,1.0,2,1,57,1,2,10,399,1,1364.65,2,11,1995,0
0,2.0,4,5,,1,1,45,0,6,4,310,2,1389.08,3,7,2015,0
0,2.0,4,5,,1,1,44,1,6,10,301,2,1392.55,3,13,2015,0
2,0.0,1,4,0.0,1,1,35,0,5,11,176,0,1167.33,2,6,2006,0
2,0.0,1,4,0.0,0,1,38,1,5,11,205,0,1309.5,2,12,2005,0
0,2.0,4,2,1.0,0,0,53,1,1,12,419,0,740.27,1,10,2012,0
0,0.0,3,2,,1,0,44,0,5,11,311,0,1017.29,2,11,2006,0
0,0.0,0,2,,1,1,42,0,5,11,293,0,1221.12,2,11,2007,0
2,1.0,0,6,,1,0,29,0,0,4,74,2,1209.23,5,5,2012,0
2,0.0,4,0,,1,1,41,0,6,1,256,0,1415.74,4,4,2014,1
0,0.0,4,2,,2,0,40,1,3,13,214,0,1328.38,3,2,2007,0
0,0.0,0,2,,2,0,40,1,3,13,203,0,1242.43,3,8,2008,0
0,2.0,4,4,,1,1,41,0,0,2,220,1,932.14,3,1,1997,0
0,2.0,4,4,,1,1,41,0,0,2,255,0,1546.75,3,1,2010,0
2,2.0,4,4,1.0,2,1,52,0,5,3,395,0,1102.86,2,4,1998,0
2,0.0,4,2,0.0,2,1,32,0,5,6,147,0,1057.9,4,2,2011,1
2,0.0,1,2,0.0,2,1,27,0,5,10,87,0,956.13,4,2,2009,0
2,0.0,1,2,1.0,1,0,42,1,2,9,225,0,1373.33,5,6,2008,0
3,,2,2,0.0,0,1,44,1,0,11,228,0,1583.91,4,1,2009,0
2,2.0,0,6,1.0,0,1,38,0,1,4,237,2,811.5,0,5,2014,0
0,1.0,3,2,,1,1,25,1,0,6,45,1,1277.56,5,7,2002,0
0,0.0,3,2,,1,1,34,1,0,6,125,2,1139.85,5,12,2000,0
0,2.0,3,2,,0,1,34,1,3,6,175,2,1116.26,5,2,2006,0
2,0.0,0,6,1.0,1,1,35,0,5,8,136,1,1388.02,3,12,2005,0
2,1.0,0,6,1.0,0,1,35,0,3,9,54,0,1088.23,4,3,2005,0
2,1.0,0,6,1.0,0,1,35,0,3,3,70,0,1083.28,1,3,2006,0
0,1.0,1,4,0.0,0,1,39,0,6,12,256,2,1351.1,4,11,2003,1
0,2.0,1,2,,0,0,49,1,6,11,318,1,1377.96,2,9,2007,0
0,1.0,4,2,0.0,2,1,29,0,6,11,135,2,1402.61,0,11,2007,0
0,2.0,3,0,,1,1,55,1,4,3,381,2,1127.34,3,14,2009,0
0,2.0,3,0,,0,1,40,1,4,3,234,2,1189.1,0,14,2011,0
3,,2,4,1.0,1,0,35,0,6,6,169,2,1180.61,1,1,2010,0
2,2.0,3,1,0.0,1,0,51,1,2,10,331,1,1311.52,4,6,2011,0
0,0.0,4,2,,0,0,34,1,6,9,137,1,1333.35,0,10,2012,0
1,,4,6,,1,1,44,0,2,9,243,2,1135.6,5,11,2002,0
1,,4,6,,0,1,27,0,2,9,7,2,1075.95,4,11,2015,1
0,0.0,4,6,1.0,1,1,47,0,5,8,321,2,1391.83,2,11,2009,0
2,0.0,3,2,1.0,1,0,46,1,4,13,280,0,1219.88,2,6,2006,0
2,0.0,3,1,1.0,2,1,47,1,4,8,304,0,1188.11,3,6,2005,0
2,2.0,0,5,,0,1,44,1,0,9,246,1,1245.57,5,2,2002,0
2,2.0,0,1,,0,1,50,1,0,9,335,1,1384.24,5,2,2004,0
0,2.0,4,6,,2,1,40,0,1,12,202,2,1373.38,5,7,2003,0
0,2.0,1,6,,2,1,34,0,6,12,120,2,1422.84,5,7,2001,0
0,1.0,4,5,,0,1,33,1,5,5,181,2,1242.58,0,2,2003,1
0,1.0,4,5,,0,1,31,1,5,5,152,2,1273.11,0,13,2004,0
0,2.0,4,6,,1,0,40,0,2,6,170,1,1570.92,5,8,2006,0
0,2.0,4,5,,2,1,34,0,2,6,41,1,1881.44,5,12,2002,0
2,1.0,1,4,,1,1,41,0,5,3,271,2,1234.82,4,4,2004,0
2,1.0,1,4,,1,1,42,0,1,3,262,2,1324.81,4,5,2009,0
2,0.0,4,6,0.0,1,1,33,0,6,7,27,0,1442.99,3,13,2012,0
3,,2,1,,2,1,35,1,1,13,134,2,999.66,4,6,2000,0
3,,2,1,,2,1,38,0,1,13,165,2,993.17,1,3,1999,0
3,,2,6,,1,1,30,0,0,0,127,1,1090.53,0,3,2008,0
1,,2,6,,1,1,33,0,0,4,161,0,1106.06,0,3,2007,0
1,,4,4,1.0,2,0,31,0,2,6,109,2,1159.05,1,8,2005,0
0,0.0,1,2,0.0,2,1,39,0,3,1,181,2,1263.56,1,4,2003,0
0,0.0,3,2,,2,1,39,0,1,1,186,2,1252.04,1,4,2003,0
0,1.0,1,1,,2,1,44,1,5,9,273,0,1077.55,0,8,2008,0
0,0.0,1,3,,1,1,29,1,5,8,59,0,1516.43,3,8,1995,0
2,1.0,3,1,0.0,2,1,42,1,6,8,212,0,1315.68,5,11,1996,0
3,,2,1,1.0,1,1,38,0,0,1,198,2,1033.49,4,11,1997,0
0,1.0,4,2,0.0,0,1,49,0,5,13,334,2,1295.72,5,2,2008,0
2,1.0,4,3,0.0,0,1,50,0,5,8,346,2,982.51,5,9,2013,0
2,1.0,0,2,1.0,2,1,37,0,3,8,169,1,1301.0,3,8,2006,0
3,,4,6,0.0,0,1,45,1,2,8,290,1,1366.51,4,12,1998,0
3,,4,1,0.0,0,1,45,1,5,8,288,0,1372.27,4,12,1999,0
2,0.0,4,2,1.0,2,1,42,0,5,3,235,2,1253.12,2,6,2002,0
0,1.0,3,2,1.0,2,0,40,0,2,3,222,0,1319.81,3,1,2008,0
2,2.0,3,2,0.0,2,0,34,0,3,3,153,0,1355.05,3,3,2007,0
2,1.0,4,4,0.0,2,0,41,0,1,12,251,1,1421.59,1,4,1995,1
2,1.0,4,4,0.0,2,0,41,0,1,12,247,1,1397.55,1,14,1995,0
2,0.0,0,2,,1,1,36,0,1,9,173,1,1068.49,2,13,2002,0
2,0.0,3,6,,1,1,21,1,0,6,7,1,1233.26,5,13,2006,0
0,0.0,1,4,1.0,1,1,61,0,2,3,447,2,1137.16,2,2,2006,0
2,0.0,0,6,1.0,1,1,35,1,3,9,211,0,1141.94,1,3,2012,0
2,0.0,0,6,1.0,1,1,35,1,5,9,211,0,1123.08,1,3,2012,0
2,2.0,4,1,,1,0,32,0,2,8,110,1,1269.44,2,10,2011,0
2,0.0,1,2,1.0,2,1,53,1,5,13,389,1,1079.39,3,6,2012,0
2,0.0,1,2,1.0,2,1,53,1,4,13,379,1,1091.88,3,10,2011,0
0,0.0,0,0,1.0,0,1,35,0,1,13,189,1,1134.04,2,11,1996,0
0,0.0,0,6,1.0,1,1,41,0,3,13,228,1,1158.84,3,5,1999,1
0,2.0,3,5,,0,0,45,1,6,8,271,2,1183.39,1,11,2005,0
2,2.0,3,5,,1,0,44,0,6,8,292,2,1099.07,1,11,2005,1
2,1.0,0,4,1.0,1,0,23,1,4,10,60,2,1215.36,5,11,2000,0
2,0.0,3,2,,2,1,31,1,1,8,123,2,1390.85,5,5,1999,1
2,1.0,1,1,,2,1,43,1,0,8,269,0,1078.01,3,7,2007,0
2,2.0,0,3,0.0,1,0,28,1,4,6,100,2,1083.29,5,5,1996,0
2,1.0,1,1,,1,1,26,1,0,8,91,0,1169.89,3,7,1996,0
2,1.0,1,3,,1,1,23,1,3,8,63,2,1115.64,3,12,1997,0
3,,4,1,0.0,1,1,47,0,2,7,286,0,1504.26,3,2,2002,0
1,,2,4,0.0,1,1,34,0,4,1,121,2,936.61,5,13,2010,0
1,,2,5,1.0,2,1,34,1,5,5,138,1,1244.21,4,10,2010,0
1,,2,5,1.0,2,1,37,1,5,12,184,2,1322.4,2,10,2011,0
2,1.0,3,2,0.0,0,1,34,1,5,4,178,1,1265.67,1,5,2005,0
2,1.0,1,2,0.0,0,1,33,1,5,4,157,1,1238.98,1,5,2005,0
0,0.0,3,1,0.0,1,1,27,1,5,12,61,2,987.73,5,5,1996,0
0,0.0,1,1,0.0,1,1,36,1,4,8,154,2,912.89,3,5,2001,0
1,,2,6,0.0,2,0,34,0,3,9,127,1,1065.67,1,8,2008,0
3,,2,1,0.0,0,0,36,0,0,11,147,1,1269.56,2,4,2014,0
1,,2,1,0.0,0,0,37,0,0,12,157,1,1307.94,2,4,2014,0
2,1.0,4,4,0.0,0,1,38,0,1,6,180,2,1301.13,1,5,2003,1
2,1.0,0,2,1.0,1,1,37,0,3,8,175,2,1405.54,4,8,2007,0
2,0.0,1,2,,2,1,46,1,1,1,302,0,1588.99,5,14,2009,0
2,0.0,3,1,1.0,2,1,45,1,1,1,292,0,1548.29,5,4,2009,0
0,0.0,0,4,0.0,1,0,33,0,6,13,60,2,1156.33,2,6,2012,0
2,0.0,0,4,0.0,2,0,34,0,6,13,76,2,1229.19,2,5,2011,0
0,1.0,0,6,1.0,0,1,32,0,5,7,156,1,1206.12,0,5,2004,0
0,1.0,0,6,,0,1,33,0,5,7,158,1,1210.98,0,3,2004,0
2,1.0,0,2,0.0,1,1,34,0,6,7,160,0,1424.18,0,13,2006,0
0,1.0,0,2,0.0,1,1,33,0,6,7,123,2,1417.98,0,13,2008,0
2,2.0,4,4,0.0,2,0,40,0,1,6,242,1,1435.28,1,4,1996,0
1,,2,2,1.0,1,0,36,0,1,8,176,0,1286.36,5,2,2004,0
1,,2,2,1.0,1,0,36,0,0,8,171,0,1288.27,5,2,2003,0
0,1.0,3,2,0.0,2,1,38,0,4,13,102,0,1472.81,0,12,2003,0
0,1.0,3,2,0.0,2,1,39,0,4,13,213,0,1460.37,0,12,2002,0
2,2.0,1,2,,1,1,29,0,0,6,87,0,1224.32,1,11,2010,0
2,2.0,1,2,1.0,2,1,30,0,3,6,116,0,1185.52,1,11,2011,0
0,0.0,4,6,1.0,2,1,42,1,4,0,245,0,1337.14,4,6,2006,0
0,1.0,3,2,,1,1,26,1,1,6,70,2,1199.44,3,10,2012,0
3,1.0,4,2,1.0,0,0,40,1,5,2,212,1,1547.69,0,5,2010,0
3,,4,2,1.0,0,1,34,1,6,2,164,1,1412.71,3,4,2008,0
2,0.0,3,1,1.0,2,1,48,0,4,8,340,0,1219.83,2,9,2001,0
2,0.0,3,1,1.0,1,1,49,1,4,8,343,0,1335.56,4,9,1999,0
2,2.0,0,6,,0,1,53,1,4,11,394,1,876.55,3,7,2002,0
0,2.0,4,2,0.0,2,0,40,1,0,9,212,0,932.86,1,1,2013,0
0,2.0,4,2,1.0,2,0,38,1,0,9,187,1,1012.36,1,11,2013,0
2,2.0,4,6,0.0,0,1,31,1,2,6,140,1,708.64,4,12,2015,0
0,0.0,3,4,0.0,2,1,36,1,6,5,61,2,1515.02,2,10,2006,0
0,2.0,3,4,0.0,2,1,37,1,6,3,52,0,1561.1,3,12,2006,0
2,1.0,0,5,,2,0,32,0,2,5,138,0,1449.33,0,3,1995,0
0,0.0,1,4,1.0,0,1,34,0,5,6,143,1,1144.09,5,4,2007,0
0,2.0,0,5,,0,0,51,0,6,6,330,0,1190.42,2,14,2001,0
2,0.0,1,6,0.0,2,1,47,0,2,10,324,2,1264.95,2,14,2010,0
0,0.0,1,6,0.0,2,1,38,0,2,4,234,2,1222.27,1,14,2015,1
0,2.0,1,1,0.0,2,0,38,0,6,2,178,0,1241.97,1,14,2006,0
0,2.0,1,5,0.0,2,0,38,0,5,10,171,0,1236.39,1,14,2006,0
0,0.0,4,6,1.0,1,1,39,1,0,12,214,0,1311.1,1,5,2004,0
0,0.0,4,6,1.0,2,0,42,1,0,12,252,0,1342.92,1,6,2006,0
0,1.0,0,6,,2,0,44,1,6,1,295,0,1168.22,1,10,1999,0
2,1.0,0,6,,2,0,44,1,6,7,288,0,1170.17,1,10,1999,0
3,,2,4,0.0,1,0,48,0,6,4,299,0,1417.26,4,6,2001,0
3,,2,6,0.0,0,1,45,0,6,4,295,0,1270.02,4,10,2002,0
0,2.0,4,3,0.0,1,1,36,0,5,7,145,2,1235.69,0,10,2014,0
0,1.0,1,4,1.0,0,1,49,1,6,6,320,0,1037.49,5,6,2002,0
0,1.0,1,4,1.0,0,1,55,1,1,3,390,0,1025.32,5,6,2005,0
2,1.0,1,4,1.0,0,1,44,0,6,9,253,0,1258.46,2,14,2003,0
2,1.0,1,3,1.0,0,1,44,0,6,8,253,2,1258.54,2,1,2003,0
0,1.0,3,2,1.0,1,1,43,1,3,8,257,0,1118.7,4,3,2014,0
2,1.0,0,4,,2,0,50,1,3,1,369,2,1189.14,3,8,2008,0
2,0.0,3,2,,1,1,27,1,1,0,33,1,1169.39,0,6,2006,0
2,0.0,1,2,,1,1,27,1,1,0,42,1,1259.05,3,6,2003,0
0,1.0,4,2,0.0,1,0,62,1,3,7,460,1,1187.96,3,12,2011,0
2,0.0,1,5,0.0,0,1,41,1,2,13,244,2,1404.52,0,4,2005,0
2,1.0,1,5,0.0,0,1,44,1,5,13,274,2,1281.99,0,4,2006,0
2,0.0,3,4,0.0,1,1,40,1,1,9,196,0,1550.9,3,9,2012,0
2,0.0,3,5,0.0,0,1,45,1,1,9,280,0,1535.42,3,9,2013,0
3,,2,6,1.0,1,1,36,1,2,1,200,2,1294.28,4,13,2001,0
3,,2,1,1.0,1,1,34,1,0,1,195,2,1433.77,4,5,2003,0
0,0.0,0,2,1.0,0,1,36,0,0,6,204,0,1003.1,4,8,2006,0
0,2.0,4,4,,1,1,41,0,0,6,217,0,875.15,3,1,1996,0
0,2.0,3,2,0.0,0,1,38,0,1,7,181,2,1366.17,5,11,2011,0
0,2.0,3,2,0.0,0,1,39,1,1,7,185,2,1350.72,5,11,2011,0
2,1.0,4,2,,0,1,36,0,2,6,107,1,1187.77,1,3,2013,0
2,1.0,4,2,,1,1,40,0,2,0,176,1,1267.31,1,3,2014,0
2,1.0,3,4,,0,1,45,1,3,8,266,1,1000.5,4,13,2014,0
2,1.0,3,4,,0,1,45,1,3,8,267,1,1021.28,4,13,2014,0
3,,4,2,,1,1,37,1,0,6,210,0,1272.27,0,1,2000,0
0,1.0,0,2,,1,0,29,0,1,1,59,2,1153.58,5,0,2002,0
0,1.0,0,4,0.0,0,0,55,1,2,9,370,0,972.18,2,12,2000,1
2,2.0,3,1,1.0,1,1,46,0,3,11,274,0,1443.76,3,11,2013,0
2,0.0,4,4,,2,1,47,0,3,2,296,2,1026.37,2,7,2005,0
2,0.0,4,6,,2,1,42,1,3,2,213,2,977.79,1,7,2005,0
2,2.0,4,6,0.0,0,1,38,0,5,12,201,1,796.95,1,9,2014,0
2,2.0,0,6,0.0,0,1,38,0,5,12,211,1,798.44,0,9,2014,0
2,2.0,3,6,1.0,1,0,28,0,1,1,90,0,1444.95,0,11,2004,0
2,2.0,4,6,1.0,1,0,29,0,1,1,99,0,1420.87,4,11,2004,0
2,0.0,3,4,,0,1,33,0,6,5,106,0,1309.87,3,1,2008,1
2,0.0,0,6,,2,1,55,1,4,8,413,1,1268.79,3,5,2011,0
2,1.0,4,6,0.0,2,1,46,0,2,11,327,0,906.14,2,8,1998,0
2,1.0,4,6,0.0,2,1,44,0,4,8,281,0,1085.97,2,8,1997,0
0,2.0,4,2,0.0,2,1,42,0,4,12,263,2,1300.48,2,1,2005,0
0,1.0,4,2,0.0,2,1,32,0,4,12,121,2,1211.83,2,10,2009,0
2,0.0,4,2,0.0,2,1,26,1,4,9,100,0,1363.06,0,1,2009,0
0,0.0,0,4,,0,1,35,0,2,6,173,1,1204.72,4,8,2006,0
0,0.0,1,2,,0,1,36,0,2,6,184,1,1220.43,4,7,2006,0
0,1.0,1,2,1.0,0,0,27,1,1,11,85,0,1173.77,4,13,2012,0
0,1.0,1,2,1.0,1,0,29,1,1,8,113,0,997.5,4,9,2005,0
2,1.0,3,5,0.0,1,1,40,1,1,2,237,1,883.31,0,6,2005,0
2,1.0,4,6,0.0,2,0,38,1,1,8,204,2,1291.64,0,2,2014,0
2,1.0,0,2,,2,1,35,1,3,0,182,0,1206.2,1,10,1997,0
2,1.0,3,2,0.0,0,0,53,0,2,6,375,2,1346.15,0,7,1999,0
2,1.0,0,2,0.0,0,0,57,1,1,6,434,2,1322.5,0,7,2000,0
2,2.0,3,2,,2,1,43,0,3,12,235,2,963.16,2,9,2000,0
0,1.0,3,0,0.0,1,1,35,1,5,11,8,2,1266.92,3,6,2006,1
2,0.0,0,2,,1,1,27,0,1,0,62,1,1161.7,5,4,2004,0
1,1.0,2,4,0.0,2,1,33,1,3,10,98,0,1712.11,3,8,2013,0
3,,2,2,0.0,0,1,41,0,0,12,234,2,1591.26,4,4,2011,0
2,0.0,1,2,1.0,1,1,37,1,3,13,182,1,1288.69,3,5,2001,0
2,1.0,0,6,1.0,1,1,27,0,3,7,30,0,1144.41,1,2,2002,1
2,1.0,0,6,,2,1,32,1,6,4,158,0,1182.62,1,10,1998,0
1,,4,3,1.0,1,1,43,1,2,9,257,1,1322.1,3,13,2005,0
0,1.0,1,4,0.0,1,0,43,1,1,8,274,2,1486.66,2,7,2000,0
0,1.0,1,4,1.0,2,1,32,0,4,0,116,2,862.43,3,6,2006,0
0,1.0,1,4,1.0,2,1,38,0,4,0,184,2,1009.8,3,6,2010,0
3,,4,1,0.0,1,1,39,0,0,12,203,2,1378.11,3,13,2007,0
1,,4,1,0.0,2,0,28,0,0,12,101,2,1555.56,3,13,2013,0
3,,2,4,1.0,1,1,27,0,3,4,80,0,1139.23,3,3,2006,0
3,,2,2,1.0,1,1,27,0,3,4,85,0,1108.69,0,8,2007,0
0,2.0,0,5,0.0,2,0,42,0,2,9,260,0,1274.05,0,14,2010,0
0,2.0,0,5,0.0,2,0,38,0,2,2,200,0,1256.01,0,12,2007,0
3,,2,5,1.0,2,1,34,1,3,3,202,1,848.07,1,12,2003,1
3,,2,4,0.0,1,0,48,0,5,11,296,0,1381.2,5,10,2004,0
2,0.0,0,6,,0,1,54,0,1,9,367,0,1181.39,1,8,2007,0
2,0.0,4,4,0.0,2,1,47,0,5,6,312,0,1370.88,4,1,2001,0
2,0.0,0,6,,0,0,53,0,1,6,351,0,1085.55,1,1,2003,0
2,0.0,3,4,0.0,0,1,45,1,6,9,273,0,1536.62,3,9,2013,0
2,2.0,3,4,0.0,0,1,43,1,1,2,246,0,-1.0,3,9,2013,1
3,,2,1,0.0,0,1,52,1,3,0,356,1,1472.27,5,9,2012,0
3,,2,4,,0,1,54,1,3,0,364,1,1425.19,1,9,2014,0
0,2.0,4,6,,2,1,54,0,6,1,396,2,1244.09,5,10,2010,0
0,2.0,4,6,0.0,2,1,51,0,6,12,357,2,1223.42,5,6,2009,0
0,0.0,3,6,,1,1,54,1,4,12,352,2,1242.38,0,14,2007,0
0,0.0,3,6,,1,1,50,1,4,3,302,0,1360.15,0,14,2006,0
2,2.0,4,2,1.0,2,1,43,0,6,8,278,0,1542.39,2,3,1998,0
2,2.0,4,2,1.0,2,1,44,0,0,5,294,0,1514.98,2,10,1998,0
2,0.0,1,4,0.0,0,1,41,0,2,2,212,0,1183.36,2,2,2012,0
2,0.0,1,4,0.0,0,1,43,0,1,9,226,0,1046.86,2,2,2014,0
1,,4,1,,0,1,44,0,3,11,272,2,1240.76,2,9,2012,0
1,,4,6,,0,1,55,0,3,11,404,2,901.03,0,9,2008,0
0,1.0,0,4,1.0,0,0,25,0,5,10,41,2,1177.59,1,5,1997,0
0,1.0,0,4,1.0,0,0,25,0,5,10,38,1,1208.69,1,12,1996,0
2,0.0,1,4,,1,1,30,0,0,11,129,1,1078.38,5,12,2005,0
0,2.0,0,4,0.0,0,0,25,1,5,9,64,0,954.16,0,13,2005,0
1,,2,5,,2,1,51,0,3,12,349,1,1219.91,2,11,2011,0
0,1.0,0,2,,1,1,34,1,0,0,169,2,1184.46,3,3,2003,0
0,1.0,0,4,,1,1,33,1,6,0,157,2,1218.37,3,3,2001,0
0,0.0,1,2,,0,1,35,0,2,13,142,1,1019.97,4,7,2000,1
0,0.0,0,1,,0,1,37,1,2,6,152,1,1011.62,4,7,1999,0
2,1.0,1,2,1.0,1,1,47,1,2,1,299,1,1630.85,5,1,1997,0
2,1.0,1,2,1.0,1,1,48,0,2,1,307,2,1543.12,5,1,1998,0
1,,4,6,1.0,1,1,35,0,2,12,192,0,1592.03,5,10,2009,0
1,,4,6,1.0,1,1,37,0,2,8,225,0,1578.59,4,10,2009,0
0,2.0,3,1,1.0,1,1,48,0,3,11,298,1,1509.41,3,11,2013,0
2,2.0,3,4,1.0,1,1,48,0,3,2,289,1,1485.08,1,11,2013,0
3,,4,6,0.0,0,1,27,1,6,2,62,0,1468.01,5,10,2003,0
3,,4,1,0.0,0,1,34,1,4,2,56,0,1238.51,3,1,1999,0
0,1.0,0,6,,1,1,37,0,6,2,202,1,1227.19,1,13,2013,0
0,1.0,0,3,,1,1,37,0,4,2,200,1,1228.05,1,13,2012,0
0,0.0,4,2,1.0,2,1,35,0,0,0,155,0,1088.34,2,3,2008,0
0,2.0,1,6,1.0,0,1,41,1,5,9,202,0,1313.54,3,2,2003,0
2,0.0,1,2,,1,1,27,0,1,0,65,1,1164.91,5,6,2004,0
2,0.0,1,2,,1,1,27,0,1,0,45,1,1140.26,3,4,2006,0
2,1.0,4,2,1.0,1,0,38,1,0,7,209,1,1076.43,5,5,1998,0
2,1.0,4,2,1.0,0,0,39,1,0,12,241,0,1193.85,5,5,1997,0
1,1.0,2,5,,2,1,33,0,3,10,163,1,1020.1,1,8,2002,0
1,,0,5,0.0,2,1,33,0,3,10,178,1,1006.88,3,8,2002,0
2,2.0,3,4,0.0,1,1,44,0,6,11,293,2,1216.3,1,11,2006,0
0,0.0,0,2,0.0,1,1,30,1,2,4,114,0,1558.29,5,12,2015,0
2,1.0,1,4,0.0,2,0,30,0,2,3,144,1,1394.56,1,9,2010,0
2,1.0,1,4,0.0,2,0,33,0,1,13,172,1,1488.3,4,13,2007,0
0,1.0,3,6,1.0,1,1,43,1,3,6,289,1,1533.91,2,4,2005,0
2,2.0,3,4,0.0,0,1,42,1,1,2,250,0,1315.8,3,9,2011,1
2,0.0,3,4,0.0,0,1,43,1,1,9,257,0,1352.6,3,3,2012,0
0,1.0,0,4,0.0,2,1,45,1,3,7,303,2,1707.61,4,14,2000,0
0,2.0,4,4,,0,1,40,0,1,12,239,2,1192.55,2,8,2008,0
0,2.0,4,4,0.0,0,1,40,0,1,0,239,2,1192.52,2,10,2008,0
2,2.0,1,6,1.0,0,1,37,1,6,9,149,0,1415.68,3,2,1999,0
0,2.0,4,2,0.0,2,1,34,0,5,7,118,2,1040.9,5,1,2013,0
0,2.0,0,2,0.0,2,1,47,0,4,7,320,2,1301.16,5,5,2005,0
2,0.0,3,4,1.0,0,1,41,1,6,8,208,1,1039.73,4,13,2010,1
2,0.0,3,4,1.0,0,1,41,1,6,7,198,0,1033.0,4,13,2009,0
2,0.0,4,2,,1,1,46,1,4,8,268,2,1511.07,0,3,2008,0
0,1.0,4,6,0.0,0,1,48,1,6,6,332,1,1261.36,1,2,2005,1
2,0.0,3,2,1.0,2,0,45,1,2,13,257,0,1210.32,3,6,2007,0
2,0.0,3,6,1.0,2,0,33,1,2,2,147,2,1334.15,1,9,1995,1
0,2.0,3,1,1.0,1,0,36,1,0,10,204,0,1154.09,2,2,2004,0
0,2.0,3,1,1.0,2,0,32,1,0,10,159,0,1161.34,0,1,2000,0
0,0.0,0,4,1.0,2,0,33,0,3,13,123,2,1304.36,2,6,2010,0
0,0.0,0,4,0.0,2,0,32,0,3,13,124,2,1270.05,2,6,2010,0
0,1.0,1,2,0.0,1,0,46,1,5,6,299,2,741.1,4,13,2006,0
1,,4,6,1.0,1,1,38,0,2,8,238,0,1573.38,5,7,2010,0
3,,2,6,,1,1,35,1,4,6,161,0,1244.47,5,4,2000,0
3,,2,6,0.0,1,1,35,1,4,8,145,0,1237.51,5,4,1999,1
2,1.0,4,2,,1,1,28,0,5,10,62,0,988.45,4,12,2004,1
3,,4,6,1.0,1,1,37,0,4,11,216,0,1441.63,3,13,2014,0
3,,4,6,1.0,1,1,38,1,4,11,223,1,1418.22,3,13,2014,0
0,0.0,1,2,0.0,2,1,50,1,5,7,313,1,894.38,1,5,2008,0
0,2.0,1,6,0.0,2,1,27,0,0,11,62,0,1595.73,3,5,2005,0
0,1.0,3,6,,1,1,36,0,1,5,145,2,1060.35,0,6,2005,0
0,2.0,0,3,,1,1,36,0,2,5,147,2,1068.6,0,2,2004,0
2,1.0,0,4,0.0,2,1,41,0,1,12,222,1,1226.54,0,4,1996,0
1,,2,6,0.0,1,1,49,0,3,8,289,0,1222.48,4,12,2001,0
2,1.0,4,1,1.0,0,1,39,1,3,4,193,1,1481.35,3,6,2002,0
0,1.0,4,1,1.0,0,1,38,0,3,4,152,1,1496.64,3,5,2002,0
1,,4,4,,2,1,39,0,1,5,253,0,856.01,2,5,2003,0
1,,4,4,,2,1,40,0,1,9,272,0,998.99,2,5,2003,0
0,0.0,0,2,,1,1,42,0,5,11,292,0,1229.4,2,11,2007,0
0,0.0,4,6,0.0,0,1,43,0,5,5,288,1,1295.22,1,11,2004,0
